mRNA	lncRNA	pcc	adjp
ENSMUSG00000024442.5	ENSMUSG00000101253.1	0.99834674953	1.09585850798e-05
ENSMUSG00000024456.16	ENSMUSG00000085555.9	0.997180165095	0.000182467773446
ENSMUSG00000024474.6	ENSMUSG00000092183.1	0.994162659595	0.00604314917943
ENSMUSG00000024498.15	ENSMUSG00000106826.1	0.997611171335	7.78698738127e-05
ENSMUSG00000024505.15	ENSMUSG00000102204.1	0.993514630103	0.00971629132259
ENSMUSG00000024511.15	ENSMUSG00000054061.8	0.993791174986	0.00799002719817
ENSMUSG00000024511.15	ENSMUSG00000090936.2	0.994534659333	0.00447206381121
ENSMUSG00000024513.16	ENSMUSG00000092341.2	0.993680846117	0.00864881386971
ENSMUSG00000024517.16	ENSMUSG00000107312.1	0.994884264388	0.00329521682334
ENSMUSG00000024524.16	ENSMUSG00000085069.2	0.994888595902	0.0032822807543
ENSMUSG00000024524.16	ENSMUSG00000097251.2	0.994861442202	0.0033640090054
ENSMUSG00000024524.16	ENSMUSG00000102014.1	0.994156061441	0.00607427934389
ENSMUSG00000024525.6	ENSMUSG00000087424.1	0.993859088212	0.00760350557877
ENSMUSG00000024530.7	ENSMUSG00000096995.2	0.996774111264	0.000358719580102
ENSMUSG00000024533.16	ENSMUSG00000097666.1	0.994711952066	0.0038416474805
ENSMUSG00000024533.16	ENSMUSG00000102157.1	0.994914519701	0.00320565507138
ENSMUSG00000024534.15	ENSMUSG00000105983.1	0.994130647162	0.00619530230857
ENSMUSG00000024537.4	ENSMUSG00000110246.1	0.997599580002	7.98517389487e-05
ENSMUSG00000024538.7	ENSMUSG00000112338.1	0.995339468973	0.00213108421246
ENSMUSG00000024544.8	ENSMUSG00000103159.1	0.995709305679	0.00144010323535
ENSMUSG00000024552.15	ENSMUSG00000109286.1	0.998783326267	1.98395817388e-06
ENSMUSG00000024560.6	ENSMUSG00000105663.1	0.993603949456	0.00913122491393
